,Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum
1278,Kroger Pharmacy 527,200 W Camp Wisdom Rd,DALLAS,Duncanville,NA,NA,NA,100,NA,NA,100
1279,Kroger Pharmacy 528,4142 Cedar Springs Rd,DALLAS,Dallas,NA,NA,300,NA,NA,NA,300
1280,Kroger Pharmacy 529,4241 Capitol Ave,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
1281,Kroger Pharmacy 530,1653 Basswood Blvd,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
1282,Kroger Pharmacy 532,5241 North Tarrant Pkwy,TARRANT,Fort Worth,NA,NA,NA,100,NA,NA,100
1283,Kroger Pharmacy 535,9150 N Tarrant Pkwy,TARRANT,North Richland Hil ,NA,NA,100,NA,NA,NA,100
1284,Kroger Pharmacy 535,9150 N Tarrant Pkwy,TARRANT,North Richland Hil ,NA,NA,100,NA,NA,NA,100
1285,Kroger Pharmacy 536,6650 N. Beach,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
1286,Kroger Pharmacy 537,2061 Rufe Snow Dr,TARRANT,Keller,NA,NA,NA,100,NA,NA,100
1287,Kroger Pharmacy 538,2350 Se Green Oaks Blvd,TARRANT,Arlington,NA,NA,100,NA,NA,NA,100
1288,Kroger Pharmacy 540,3305 N. Dallas Parkway,COLLIN,Plano,NA,NA,NA,100,NA,NA,100
1289,Kroger Pharmacy 542,3300 Texas Sage Trl,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
1290,Kroger Pharmacy 543,945 W. Lamar Blvd.,TARRANT,Arlington,NA,NA,200,NA,NA,NA,200
1291,Kroger Pharmacy 544,1212 E Bethany Dr,COLLIN,Allen,NA,NA,NA,100,NA,NA,100
1292,Kroger Pharmacy 545,"1001 N. Beckley, Ste. 500",DALLAS,Desoto,NA,NA,NA,100,NA,NA,100
1293,Kroger Pharmacy 546,4851 Legacy Drive,COLLIN,Frisco,NA,NA,100,100,NA,NA,200
1294,Kroger Pharmacy 547,3205 Main St,DENTON,Frisco,NA,NA,NA,100,NA,NA,100
1295,Kroger Pharmacy 548,1210 N Greenville Ave,COLLIN,Allen,NA,NA,100,100,NA,NA,200
1296,Kroger Pharmacy 557,6850 North Shiloh Road,DALLAS,Garland,NA,NA,NA,100,NA,NA,100
1297,Kroger Pharmacy 559,1406 W Walnut St,DALLAS,Garland,NA,NA,100,100,NA,NA,200
1298,Kroger Pharmacy 562,12600 N Beach St,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
1299,Kroger Pharmacy 565,1801 N Lake Forest Dr,COLLIN,McKinney,NA,NA,NA,100,NA,NA,100
1300,Kroger Pharmacy 567,2901 Lake Forest Dr,COLLIN,McKinney,NA,NA,100,NA,NA,NA,100
1301,Kroger Pharmacy 570,5021 Teasley Ln,DENTON,Denton,NA,NA,100,100,NA,NA,200
1302,Kroger Pharmacy 572,3400 Fm 407 E.,DENTON,Argyle,NA,NA,100,100,NA,NA,200
1303,Kroger Pharmacy 573,1250 N. Preston Road,COLLIN,Prosper,NA,NA,NA,100,NA,NA,100
1304,Kroger Pharmacy 574,1950 N Goliad St,ROCKWALL,Rockwall,NA,NA,NA,100,NA,NA,100
1305,Kroger Pharmacy 575,2935 Ridge Rd,ROCKWALL,Rockwall,NA,NA,NA,100,NA,NA,100
1306,Kroger Pharmacy 576,4750 W Bailey Boswell Rd,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
1307,Kroger Pharmacy 577,7505 N Macarthur Blvd,DALLAS,Irving,NA,NA,100,100,NA,NA,200
1308,Kroger Pharmacy 578,2608 W Fm 544,COLLIN,Wylie,NA,NA,100,100,NA,NA,200
1309,Kroger Pharmacy 579,500 Marketplace Blvd,KAUFMAN,Forney,NA,NA,NA,100,NA,NA,100
1310,Kroger Pharmacy 580,2671 Little Elm Pkwy,DENTON,Little Elm,NA,NA,100,100,NA,NA,200
1311,Kroger Pharmacy 586,1592 S Loop 288,DENTON,Denton,NA,NA,200,100,NA,NA,300
1312,Kroger Pharmacy 587,3939 Frankford Rd,DENTON,Dallas,NA,NA,100,100,NA,NA,200
1313,Kroger Pharmacy 588,9140 Forest Ln,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
1314,Kroger Pharmacy 589,4650 W University Dr,DENTON,Prosper,NA,NA,100,100,NA,NA,200
1315,Kroger Pharmacy 590,1004 S Crowley Rd,TARRANT,Crowley,NA,NA,100,NA,NA,NA,100
1316,Kroger Pharmacy 591,1631 Sw Wilshire Blvd,JOHNSON,Burleson,NA,NA,NA,100,NA,NA,100
1317,Kroger Pharmacy 592,5101 W Sublett Rd,TARRANT,Arlington,NA,NA,NA,100,NA,NA,100
1318,Kroger Pharmacy 594,3300 E Broad St,TARRANT,Mansfield,NA,NA,100,NA,NA,NA,100
1319,Kroger Pharmacy 596,2200 Fm 663,ELLIS,Midlothian,NA,NA,NA,100,NA,NA,100
1320,Kroger Pharmacy 599,4620 State Highway 121,DENTON,Lewisville,NA,NA,NA,100,NA,NA,100
1321,Kroger Pharmacy 607,2300 Gessner Rd,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1322,Kroger Pharmacy 688,301 S Bowen Rd,TARRANT,Arlington,NA,NA,NA,100,NA,NA,100
1323,Kroger Pharmacy 689,17194 Preston Road,DALLAS,Dallas,NA,NA,100,100,NA,NA,200
1324,Kroger Pharmacy 695,5701 W Pleasant Ridge Rd,TARRANT,Arlington,NA,NA,200,NA,NA,NA,200
1325,Kroger Pharmacy 733,1550 W Grand Pkwy S,FORT BEND,Katy,NA,NA,NA,100,NA,NA,100
1326,Kroger Pharmacy 735,12555 Briar Forest Dr,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1327,Kroger Pharmacy 737,12400 Fm 1960 Rd W,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1328,Kroger Pharmacy 738,8745 Spring Cypress Rd,HARRIS,Spring,NA,NA,NA,100,NA,NA,100
1329,Kroger Pharmacy 740,7747 Kirby Dr,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1330,Kroger Pharmacy 743,151 N Friendswood Dr,GALVESTON,Friendswood,NA,NA,NA,200,NA,NA,200
1331,Kroger Pharmacy 744,3135 Fm 528,HARRIS,Friendswood,NA,NA,NA,100,NA,NA,100
1332,Kroger Pharmacy 746,11701 S. Sam Houston Pkwy.,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1333,Kroger Pharmacy 748,10010 Cypresswood Dr,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1334,Kroger Pharmacy 817,2525 W Interstate 20,TARRANT,Grand Prairie,NA,NA,NA,100,NA,NA,100
1335,Kroger Pharmacy 824,1820 N Loy Lake Rd,GRAYSON,Sherman,NA,NA,200,300,NA,NA,500
1336,Kroger Pharmacy 844,708 E Pipeline Rd,TARRANT,Hurst,NA,NA,100,NA,NA,NA,100
1337,Kroger Pharmacy 851,2210 S Fielder Rd,TARRANT,Arlington,NA,200,NA,NA,NA,NA,200
1338,Kroger Pharmacy 870,3770 Belt Line Rd,DALLAS,Addison,NA,NA,100,100,NA,NA,200
1339,Kroger Pharmacy 879,6805 N Main,DENTON,The Colony,NA,NA,100,100,NA,NA,200
1340,Kroger Pharmacy 893,1919 Faithon P. Lucas Blvd,DALLAS,Mesquite,NA,NA,100,NA,NA,NA,100
1341,Kroger Pharmacy 950,1600 N 16th St,ORANGE,Orange,NA,NA,NA,NA,NA,100,100
1342,Kroger Pharmacy 953,300 E. End Blvd. (Hwy 80),HARRISON,Marshall,NA,NA,NA,100,NA,NA,100
1343,Kroger Pharmacy 957,1310 Clarksville St,LAMAR,Paris,NA,500,NA,100,NA,NA,600
1344,Kroger Pharmacy 959,701 W Marshall Ave,GREGG,Longview,NA,NA,NA,100,NA,NA,100
1345,Kroger Pharmacy 990,1215 North St,NACOGDOCHES,Nacogdoches,NA,NA,NA,100,NA,NA,100
1346,Kroger Texas LP,525 N Galloway,DALLAS,Mesquite,NA,NA,NA,100,NA,NA,100
1347,Kyle Communicare Health Center,2810 Dacy Ln,BEXAR,Kyle,NA,NA,NA,500,NA,NA,500
1348,Kyle Communicare Health Center,2810 Dacy Ln,HAYS,Kyle,NA,NA,NA,NA,NA,975,975
1349,"La Esperanza Clinic,Inc.",35 E 31st St,TOM GREEN,San Angelo,NA,NA,NA,NA,NA,100,100
1350,La Gran Plaza Health Center,1101 S. Main St.,TARRANT,Fort Worth,NA,200,NA,100,NA,NA,300
1351,La Joya's Neighborhood Doctors,2121 E Griffin Pkwy,HIDALGO,Mission,NA,NA,NA,100,NA,NA,100
1352,La Nueva Casa De Amigos Health Center,1809 N Main St,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1353,La Salle County Regional Health Authority,247 Mars Drive,LA SALLE,Cotulla,NA,NA,NA,NA,NA,975,975
1354,Lake Aire Med Ctr Sr Health Wellnes,2423 Williams Dr Ste 113,WILLIAMSON,Georgetown,NA,NA,NA,NA,NA,100,100
1355,Lake June Medical Clinic,7716 Lake June Rd,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
1356,Lakeland,117 Medical Circle,HENDERSON,Athens,NA,500,NA,NA,NA,NA,500
1357,Lakeland Medical Associates Gbc 040385,170 Municipal Dr,HENDERSON,Mabank,NA,400,NA,NA,NA,NA,400
1358,Lamar Plaza Drug Store,1509 S Lamar Blvd #550,TRAVIS,Austin,NA,NA,NA,200,NA,NA,200
1359,Lamb Healthcare Center,1500 S Sunset Ave,LAMB,Littlefield,NA,NA,200,NA,NA,NA,200
1360,Lamesa Primary Clinic,1502 N Avenue K,HOCKLEY,Lamesa,NA,NA,NA,NA,NA,100,100
1361,Laredo Emergency Room,7510 Mcpherson Rd,WEBB,Laredo,NA,2500,2500,NA,NA,NA,5000
1362,Laredo Medical Center,1700 East Saunders,WEBB,Laredo,975,975,NA,NA,NA,NA,1950
1363,Laredo Regional Medical Center,10700 Mcpherson Rd,WEBB,Laredo,NA,1000,NA,NA,NA,NA,1000
1364,Las Colinas Pharmacy,6420 N. MacArthurBlvd,DALLAS,Irving,NA,NA,NA,100,NA,NA,100
1365,Las Palmas Medical Center,1801 N Oregon St,EL PASO,El Paso,NA,NA,200,1100,NA,NA,1300
1366,Las Palmas Medical Center,NA,EL PASO,El Paso,975,NA,NA,NA,NA,NA,975
1367,Lavaca Family Health Clinic,1406 North Texana,LAVACA,Hallettsville,NA,300,NA,200,NA,NA,500
1368,Lavaca Medical Center,1400 N Texana St,LAVACA,Hallettsville,NA,NA,NA,NA,200,NA,200
1369,Lbj Hospital - Harris County Hospital District,5656 Kelley St,HARRIS,Houston,NA,975,1100,1950,NA,NA,4025
1370,LBJ Hospital - Harris County Hospital District,NA,HARRIS,Houston,1950,NA,NA,NA,NA,NA,1950
1371,League City Integrated Pediatrics - 061457,2360 Gulf Fwy S Ste 100-C,GALVESTON,League City,NA,NA,NA,NA,NA,100,100
1372,Lees Pharmacy North,5120 N 10th St,HIDALGO,McAllen,NA,NA,NA,100,NA,NA,100
1373,Legacy Community Health,6677 Rookin St,HARRIS,Houston,NA,NA,NA,NA,NA,100,100
1374,Legacy Community Health (Central Stagg Lcsp),3455 Stagg Dr.,JEFFERSON,Beaumont,NA,NA,NA,100,NA,NA,100
1375,Legacy Community Health Mapleridge,6550 Mapleridge St Ste 106,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1376,Legacy Community Health Northline Center,5598 North Fwy # A1,HARRIS,Houston,NA,NA,NA,NA,NA,100,100
1377,Legacy Community Health Pharmacy Lyons,3811 Lyons Ave,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1378,Legacy Community Health Pharmacy Montrose,1415 California Street,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1379,Legacy Community Health Services,4301 Garth Rd Ste 400,HARRIS,Baytown,NA,NA,NA,100,NA,NA,100
1380,Legacy Community Health Southwest,6441 High Star Dr,HARRIS,Houston,NA,2100,NA,NA,NA,NA,2100
1381,Legends Pharmacy,6601 Blanco Rd,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
1382,Legent Orthopedic Hospital,1401 E Trinity Mills Rd,DALLAS,Carrollton,NA,NA,100,NA,NA,NA,100
1383,Lhd Abilene-Taylor County Health Department (Re),850 N 6th St,TAYLOR,Abilene,NA,600,NA,NA,NA,1200,1800
1384,LHD Amarillo DOH,1000 Martin Rd,POTTER,Amarillo,NA,3000,7000,1000,NA,5000,16000
1385,Lhd Andrews City-County Health Department (Re),208 Nw 2nd St,ANDREWS,Andrews,NA,100,NA,NA,NA,400,500
1386,Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,ANGELINA,Lufkin,NA,NA,NA,100,NA,NA,100
1387,Lhd Bell County Public Health District (Re),509 S 9th St,BELL,Temple,NA,NA,NA,NA,NA,3900,3900
1388,Lhd Cameron County Health Department (Re,1390 W Expressway 83,CAMERON,San Benito,NA,200,2000,NA,NA,NA,2200
1389,LHD Cherokee County Health Department (RE),803 College Ave,CHEROKEE,Jacksonville,NA,NA,NA,200,200,NA,400
1390,LHD Corsicana-Navarro Public Health District (RE),618 N Main,NAVARRO,Corsicana,NA,NA,NA,NA,NA,600,600
1391,LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,DALLAS,Dallas,NA,1200,NA,1200,NA,9000,11400
1392,LHD Denton County Public Health (RE),535 S. Loop 288,DENTON,Denton,NA,NA,NA,NA,NA,6000,6000
1393,Lhd Ector County Health Department (Re),221 N Texas Ave,ECTOR,Odessa,NA,NA,NA,200,500,NA,700
1394,LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE),4520 Reading Rd,FORT BEND,Rosenberg,NA,NA,NA,NA,NA,5850,5850
1395,LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,GALVESTON,Texas City,NA,NA,NA,400,NA,1000,1400
1396,Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,DALLAS,Garland,NA,900,100,NA,NA,1000,2000
1397,Lhd Hardin County Health Department (Re),1135 Redwood,HARDIN,Kountze,NA,NA,NA,300,NA,500,800
1398,Lhd Hays County Health Department (Re),401 Broadway St Ste A,HAYS,San Marcos,NA,NA,NA,NA,NA,1950,1950
1399,Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,HIDALGO,Edinburg,NA,1100,NA,NA,NA,5000,6100
1400,Lhd Jasper-Newton Co Phealth Dist (Re),139 W Lamar St,JASPER,Jasper,NA,NA,NA,100,NA,1600,1700
1401,Lhd Lubbock City Health Dept (Re),806 18th St,LUBBOCK,Lubbock,NA,1000,NA,1000,NA,5000,7000
1402,LHD Medina CO Health Dept (RE),3103 AVE G,MEDINA,Hondo,NA,NA,NA,NA,300,NA,300
1403,LHD MILAM CO HEALTH DEPT (RE),209 S. Houston Ave,MILAM,Cameron,NA,NA,NA,200,200,NA,400
1404,Lhd Nethealth (Re),815 N Broadway Ave,SMITH,Tyler,NA,1000,NA,1000,NA,1500,3500
1405,Lhd Paris-Lamar Co Health Dept (Re),400 W Sherman St,LAMAR,Paris,NA,NA,200,NA,NA,400,600
1406,Lhd Port Arthur City Health Dept (Re),449 Austin Ave,JEFFERSON,Port Arthur,NA,NA,NA,100,NA,300,400
1407,Lhd Sweetwater-Nolan Co Health Dept (Re),301 E 12th St,NOLAN,Sweetwater,NA,NA,NA,100,NA,600,700
1408,Lhd Texarkana-Bowie Co Fam Hlth Cntr (Re),902 W 12th St,BOWIE,Texarkana,NA,NA,NA,100,NA,NA,100
1409,Lhd Waco-Mclennan Co Phealth Dist (Re),225 W Waco Dr,MCLENNAN,Waco,NA,200,NA,NA,NA,1500,1700
1410,LHD Wichita Falls-Wichita CO PH Dist (RE),1700 3rd Street,WICHITA,Wichita Falls,NA,NA,NA,NA,NA,1950,1950
1411,Liberty Dayton Regional Medical Center,1353 N Travis St,LIBERTY,Liberty,NA,NA,200,NA,NA,NA,200
1412,Life Ambulance Service Inc.,5720 Trowbridge Dr,EL PASO,El Paso,NA,NA,NA,200,NA,NA,200
1413,LifeCare Hospital of Dallas,1950 Record Crossing,DALLAS,Dallas,NA,NA,NA,NA,200,NA,200
1414,Limestone Medical Center,701 Mcclintic Dr,LIMESTONE,Groesbeck,NA,NA,400,NA,NA,NA,400
1415,Linos Pharmacy 2,201 N Fm 3167 Ste 101-102,STARR,Rio Grande City,NA,NA,NA,100,NA,NA,100
1416,Live Oak Community Health Center,105 E Thornton,LIVE OAK,Three Rivers,NA,NA,NA,NA,100,NA,100
1417,Lone Star Circle Of Care At El Buen Samaritano,7000 Woodhue Dr,TRAVIS,Austin,NA,NA,NA,NA,NA,100,100
1418,Lone Star Circle Of Care At Temple,2112 Sw H K Dodgen Loop Ste 110,BELL,Temple,NA,NA,NA,NA,NA,100,100
1419,Lone Star Circle Of Care At The University Of Houston,4849 Calhoun Road,HARRIS,Houston,NA,NA,NA,NA,NA,100,100
1420,Lone Star Circle Of Care Ben White,1221 W Ben White Blvd # B100,TRAVIS,Austin,NA,NA,NA,NA,NA,100,100
1421,Lone Star Family Health Center,605 S. Conroe Medical Dr,MONTGOMERY,Conroe,NA,100,NA,200,NA,2000,2300
1422,Lone Star Medicine And Pediatrics,6033 Airline Dr Ste C,HARRIS,Houston,NA,100,NA,NA,NA,NA,100
1423,LONESTAR NEURO DIAGNOSTICS AND REHAB,4900 N 10TH ST.,HIDALGO,McAllen,NA,100,NA,NA,NA,NA,100
1424,Longview Cancer Center,1300 N 4th St,GREGG,Longview,NA,NA,NA,100,NA,NA,100
1425,"Longview Medical Center, L.P.",2901 North 4Th Street,GREGG,Longview,NA,NA,600,NA,NA,NA,600
1426,"Longview Medical Center, L.P.",NA,GREGG,Longview,975,NA,NA,NA,NA,NA,975
1427,Longview Wellness Center,705 E MARSHALL AVE,GREGG,Longview,NA,NA,NA,300,NA,NA,300
1428,Los Alamos Family Medical Center,427 E Duranta Ave,HIDALGO,Alamo,NA,600,NA,NA,NA,NA,600
1429,Los Barrios Unidos Community Clinic,4732 W. Illinois Ave.,DALLAS,Dallas,NA,NA,NA,NA,NA,100,100
1430,Los Fresnos Pharmacy,810 W. Ocean Blvd,CAMERON,Los Fresnos,NA,NA,NA,100,NA,NA,100
1431,Louis Morgan Drug 4,110 Johnston St,GREGG,Longview,NA,100,NA,NA,NA,NA,100
1432,Louis Morgan Drugs #1,1900 S High St,GREGG,Longview,NA,NA,NA,100,NA,NA,100
1433,Lovett-Meredith Rhc/Olney Family Clinic,100 S Avenue M,YOUNG,Olney,NA,500,NA,NA,NA,NA,500
1434,Lpisd/Vshsi Community And School Based Health Clin ,117 E Us Hwy 57,ZAVALA,La Pryor,NA,NA,100,NA,NA,NA,100
1435,Lscc Bastrop Hlth Cl Wmn Wlns,605 Old Austin Hwy,BASTROP,Bastrop,NA,NA,NA,NA,NA,100,100
1436,Lscc Fam Care Ctr Nw Fp,11111 Research Blvd Ste 320,TRAVIS,Austin,NA,NA,NA,NA,NA,100,100
1437,Lscc Tamu Hlth Science Ctr Family Hlth,3950 N A W Grimes Blvd # 301,WILLIAMSON,Round Rock,NA,NA,NA,NA,NA,100,100
1438,Lubbock Heart Hospital,4810 N Loop 289,LUBBOCK,Lubbock,NA,500,NA,NA,NA,NA,500
1439,Lufkin Adult Medicine Clinic,202 S Bynum St,ANGELINA,Lufkin,NA,NA,NA,100,NA,NA,100
1440,Lufkin Community Clinic-Lakeview,1316 Lakeview St,ANGELINA,Lufkin,NA,NA,NA,100,NA,NA,100
1441,"Lumberton Hospital, LLC",137 N. LHS Drive,HARDIN,Lumberton,NA,NA,100,NA,NA,NA,100
1442,Lung Diagnostics,4410 Medical Dr,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
1443,Lynns Lavega Pharmacy,2401 E Waco Dr,MCLENNAN,Waco,NA,200,NA,NA,NA,NA,200
1444,Lytle Community Health Center,19010 Priest BLVD,ATASCOSA,Lytle,NA,NA,NA,NA,NA,100,100
1445,M And M Adult Clinic,4365 S. Expressway 77/83,CAMERON,Brownsville,NA,NA,NA,100,NA,NA,100
1446,Madison D Lowry MD,1282 E Common St,COMAL,New Braunfels,NA,300,NA,NA,NA,NA,300
1447,Magenta Health,17238 Bulverde Road,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
1448,Magnolia Pharmacy,18230 Fm 1488 Rd Ste 100,MONTGOMERY,Magnolia,NA,500,NA,NA,NA,NA,500
1449,Mansfield Urgent Care And Family Practice,1811 Highway 287 N Ste 150,TARRANT,Mansfield,NA,1000,NA,NA,NA,NA,1000
1450,Marathon Petroleum Texas City,2401 5th Ave S,GALVESTON,Texas City,NA,NA,NA,200,NA,NA,200
1451,"Margolin And Keinarth Md, Pa",5222 Burnet Road,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500
1452,Market Basket Pharmacy 17,864 Magnolia Ave,JEFFERSON,Port Neches,NA,600,NA,NA,NA,NA,600
1453,Market Street Pharmacy #696,3145 E Broad Street,TARRANT,Mansfield,NA,100,NA,NA,NA,NA,100
1454,Market Street Pharmacy 502,3405 50th St,LUBBOCK,Lubbock,NA,NA,NA,100,NA,NA,100
1455,Market Street Pharmacy 517,4590 Kell Blvd,WICHITA,Wichita Falls,NA,300,NA,NA,NA,NA,300
1456,Market Street Pharmacy 543,4205 98th St,LUBBOCK,Lubbock,NA,NA,NA,100,NA,NA,100
1457,Market Street Pharmacy 553,4425 19th St,LUBBOCK,Lubbock,NA,900,NA,NA,NA,NA,900
1458,Market Street Pharmacy 560,5605 Colleyville Blvd,TARRANT,Colleyville,NA,NA,NA,100,NA,NA,100
1459,Market Street Pharmacy 561,6100 Eldorado Pkwy,COLLIN,McKinney,NA,NA,NA,100,NA,NA,100
1460,Market Street Pharmacy 563,985 W Bethany Dr,COLLIN,Allen,NA,NA,NA,100,NA,NA,100
1461,Market Street Pharmacy 566,1929 Preston Rd,COLLIN,Plano,NA,NA,NA,100,NA,NA,100
1462,Market Street Pharmacy 675,4950 E 42nd St,ECTOR,Odessa,NA,NA,NA,100,NA,NA,100
1463,Market Street Pharmacy 679,4450 Buffalo Gap Rd,TAYLOR,Abilene,NA,NA,NA,100,NA,NA,100
1464,Market Street Pharmacy 685,4268 Legacy Dr,COLLIN,Frisco,NA,NA,NA,100,NA,NA,100
1465,Marshall-Harrison County Health District (Re),805 Lindsey Dr,HARRISON,Marshall,NA,NA,NA,100,NA,500,600
1466,Martin County Hospital District,600 Interstate 20 East,MARTIN,Stanton,NA,NA,300,NA,NA,NA,300
1467,Martin Luther King Clinic,1911 N Martin Luther King Jr Blvd,MCLENNAN,Waco,NA,NA,NA,100,NA,NA,100
1468,Matagorda Regional Medical Center,104 7th Street,MATAGORDA,Bay City,NA,500,NA,NA,100,NA,600
1469,Maverick County Hospital District,3406 Bob Rogers Dr Ste 290,MAVERICK,Eagle Pass,NA,300,NA,NA,NA,NA,300
1470,Mcallen Oncology,5401 N G St,HIDALGO,McAllen,NA,NA,NA,100,NA,NA,100
1471,Mccamey Hospital,2500 S Highway 305,UPTON,McCamey,NA,100,NA,NA,NA,NA,100
1472,Mcgregor Community & Dental Clinic,500 Johnson Dr,MCLENNAN,McGregor,NA,NA,NA,NA,NA,100,100
1473,Mckinney Isd,1 Duvall St,COLLIN,McKinney,NA,NA,NA,100,NA,NA,100
1474,Md Family Clinic,9709 Bruton Rd,DALLAS,Dallas,NA,500,NA,NA,NA,NA,500
1475,Md Family Clinic - Dallas,2959 S Buckner Blvd Ste 700,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
1476,Md Family Clinic - Denton,1306 Teasley Ln,DENTON,Denton,NA,500,NA,NA,NA,NA,500
1477,Md Family Clinic - Fort Worth,1200 Woodhaven Blvd,TARRANT,Fort Worth,NA,NA,NA,300,NA,NA,300
1478,Md Family Clinic - Hampton,2815 S Hampton Rd,DALLAS,Dallas,NA,500,NA,NA,NA,NA,500
1479,Md Family Marsh - Dallas - 9991 Marsh Ln,9991 Marsh Ln,DALLAS,Dallas,NA,500,NA,300,NA,NA,800
1480,Md Kids Pediatrics - Cockrell Hill,4351 Dfw Turnpike Ste,DALLAS,Dallas,NA,200,NA,NA,NA,NA,200
1481,Md Kids Pediatrics - Dallas,655 W Illinois Ave Ste 916,DALLAS,Dallas,NA,200,NA,NA,NA,NA,200
1482,Md Kids Pediatrics - Garland,3050 S 1st St Ste 209,DALLAS,Garland,NA,200,NA,NA,NA,NA,200
1483,Md Kids Pediatrics - Lake Highlands,8330 Abrams,DALLAS,Dallas,NA,200,NA,NA,NA,NA,200
1484,Md Kids Pediatrics - Oakcliff,3434 W Illinois Ave # 306-3,DALLAS,Dallas,NA,200,NA,NA,NA,NA,200
1485,Md Kids Pediatrics - W Plano,7800 Preston Rd Ste 300,COLLIN,Plano,NA,200,NA,NA,NA,NA,200
1486,Md Kids Pediatrics Carrolton,3044 Old Denton Rd Ste 138,DENTON,Carrollton,NA,200,NA,NA,NA,NA,200
1487,Md Kids Pediatrics Lomaland,1570 Lomaland Dr Ste A,EL PASO,El Paso,NA,200,NA,NA,NA,NA,200
1488,Md Kids Pediatrics Macarthur - Irving,1111 W Airport Fwy,DALLAS,Irving,NA,200,NA,NA,NA,NA,200
1489,Md Progressive Care,3500 Oak Lawn Ave,DALLAS,Dallas,NA,100,NA,NA,NA,NA,100
1490,Med-Choice Pharmacy,2300 W Morton St Ste 121,GRAYSON,Denison,NA,NA,NA,100,NA,NA,100
1491,Medical Associates Of Athens,115 Medical Cir Ste 108,HENDERSON,Athens,NA,NA,NA,200,NA,NA,200
1492,Medical Center Alliance,3101 N Tarrant Pkwy,TARRANT,Fort Worth,NA,700,NA,NA,100,NA,800
1493,Medical Center Hospital,400 W 4th,ECTOR,Odessa,NA,2500,NA,NA,NA,3900,6400
1494,Medical Center Of Arlington,3301 Matlock Rd,TARRANT,Arlington,NA,NA,500,NA,300,NA,800
1495,Medical Center Of Dimmitt,300 W Halsell St,CASTRO,Dimmitt,NA,100,NA,NA,100,400,600
1496,Medical Center Of Lewisville,500 W Main St,DENTON,Lewisville,NA,600,NA,100,NA,NA,700
1497,Medical Center Of Mckinney,4500 Medical Center Dr,COLLIN,McKinney,NA,NA,500,NA,NA,NA,500
1498,Medical City Arlington,NA,TARRANT,Arlington,975,NA,NA,NA,NA,NA,975
1499,Medical City Dallas Hospital,7777 Forest Lane,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
1500,Medical City Dallas Hospital,NA,DALLAS,Dallas,1950,NA,NA,NA,NA,NA,1950
1501,Medical City Denton,3535 South I35 East,DENTON,Denton,NA,1300,200,NA,NA,NA,1500
1502,Medical City Fort Worth,900 8th Ave,TARRANT,Fort Worth,NA,900,NA,NA,NA,NA,900
1503,Medical City Frisco,5500 Frisco Square Blvd,COLLIN,Frisco,NA,400,1200,NA,100,NA,1700
1504,Medical City Green Oaks Hospital,7808 Clodus Fields Dr,DALLAS,Dallas,NA,100,200,NA,NA,NA,300
1505,Medical City Heart and Spine Hospitals,11970 N Central Expy,DALLAS,Dallas,NA,300,NA,NA,NA,NA,300
1506,Medical City Las Colinas,6800 N Macarthur Blvd,DALLAS,Irving,NA,700,100,NA,NA,NA,800
1507,Medical City McKinney,NA,COLLIN,McKinney,975,NA,NA,NA,NA,NA,975
1508,Medical City Plano,NA,COLLIN,Plano,2925,NA,NA,NA,NA,NA,2925
1509,Medical City Weatherford,713 E Anderson St,PARKER,Weatherford,NA,700,NA,NA,NA,NA,700
1510,Medical Clinic Of Houston - Houston - 1701 Sunset Boulevard,1701 Sunset Blvd,HARRIS,Houston,NA,1000,NA,NA,NA,NA,1000
1511,Medical Clinic Of Muleshoe,708 S 1st St,BAILEY,Muleshoe,NA,100,NA,NA,NA,975,1075
